pozo,fecha,tipo de registro,estrangulador (pg),nivel medio de los disparos (mbmr),gradiente pozo (kg/cm2/m),gradiente yacimiento (kg/cm2/m),presion superficie (kg/cm2),de fondo cerrado gradiente de yacimiento (kg/cm2),de fondo cerrado gradiente de pozo (kg/cm2)
SITIO GRANDE 8,23-05-81,CERRADO,N/A,4242.5,0.103,0.056,0,526.84,359.71
SITIO GRANDE 8,15-08-81,CERRADO,N/A,4242.5,0.0613,0.056,0,501.24,360.72
SITIO GRANDE 8,16-09-81,CERRADO,N/A,4242.5,0.099,0.056,0,482.74,0
SITIO GRANDE 51D,02-02-82,CERRADO,N/A,4207.5,0.0907,0.056,0,517.24,0
SITIO GRANDE 51D,04-06-84,CERRADO,N/A,4207.5,0.104,0.056,0,427.74,0
SITIO GRANDE 51D,05-06-84,CERRADO,N/A,4207.5,0.0926,0.056,0,519.64,0
SITIO GRANDE 51D,08-04-84,CERRADO,N/A,4207.5,0.0908,0.056,0,516.92,0
SITIO GRANDE 51D,11-08-84,CERRADO,N/A,4207.5,0.0976,0.056,0,525.22,0
SITIO GRANDE 51D,16-01-85,CERRADO,N/A,4207.5,0.0977,0.056,0,378.29,363.57
SITIO GRANDE 51D,03-10-85,CERRADO,N/A,4207.5,0,0.056,0,393.5,358.78
SITIO GRANDE 51D,05-12-85,CERRADO,N/A,4207.5,0,0.056,60.42,478.16,349.9
SITIO GRANDE 51D,07-12-85,CERRADO,N/A,4207.5,0,0.056,103.17,518,342.57
SITIO GRANDE 51D,27-09-85,CERRADO,N/A,4207.5,0,0.056,106.24,516.51,0
SITIO GRANDE 51D,18-10-86,CERRADO,N/A,4207.5,0,0.056,100.56,511.66,0
SITIO GRANDE 51D,02-07-87,CERRADO,N/A,4207.5,0,0.056,11.99,418.87,0
SITIO GRANDE 51D,06-10-87,CERRADO,N/A,4207.5,0,0.056,123.93,538.02,0
SITIO GRANDE 51D,10-08-87,CERRADO,N/A,4207.5,0,0.056,116.42,540.96,0
SITIO GRANDE 51D,21-02-88,CERRADO,N/A,4207.5,0,0.056,107.77,518.18,0
SITIO GRANDE 51D,06-04-88,CERRADO,N/A,4207.5,0,0.056,96.44,509.47,0
SITIO GRANDE 51D,22-04-89,CERRADO,N/A,4207.5,0,0.056,11.99,418.87,0
SITIO GRANDE 51D,21-03-90,CERRADO,N/A,4207.5,0,0.056,30.9,356.8,0
SITIO GRANDE 51D,13-02-91,CERRADO,N/A,4207.5,0,0.056,13.32,414.85,0
SITIO GRANDE 51D,04-01-92,CERRADO,N/A,4207.5,0,0.056,0,430.6,0
SITIO GRANDE 51D,17-07-92,CERRADO,N/A,4207.5,0,0.056,0,384.46,0
SITIO GRANDE 51D,01-07-93,CERRADO,N/A,4207.5,0,0.056,0,317.76,0
SITIO GRANDE 51D,03-10-93,CERRADO,N/A,4207.5,0,0.056,0,353.03,367.07
SITIO GRANDE 51D,27-01-94,CERRADO,N/A,4207.5,0,0.056,0,347.73,0
SITIO GRANDE 51D,28-01-95,CERRADO,N/A,4207.5,0,0.056,0,328.13,0
SITIO GRANDE 51D,06-07-95,CERRADO,N/A,4207.5,0,0.056,0,323.13,0
SITIO GRANDE 51D,07-07-95,CERRADO,N/A,4207.5,0,0.056,0,322.83,0
SITIO GRANDE 51D,08-10-95,CERRADO,N/A,4207.5,0,0.056,0,317.43,0
SITIO GRANDE 51D,09-10-96,CERRADO,N/A,4207.5,0,0.056,0,315.93,0
SITIO GRANDE 51D,19-03-96,CERRADO,N/A,4207.5,0,0.056,0,378.03,0
SITIO GRANDE 51D,15-05-96,CERRADO,N/A,4207.5,0,0.056,0,370.63,0
SITIO GRANDE 51D,20-05-96,CERRADO,N/A,4207.5,0,0.056,0,372.03,0
SITIO GRANDE 51D,06-07-96,CERRADO,N/A,4207.5,0,0.056,0,372.03,0
SITIO GRANDE 51D,09-10-96,CERRADO,N/A,4207.5,0,0.056,0,374.93,0
SITIO GRANDE 51D,18-09-97,CERRADO,N/A,4207.5,0,0.056,0,388.37,350.87
SITIO GRANDE 51D,14-10-07,CERRADO,N/A,4207.5,0,0.056,0,365.24,0
SITIO GRANDE 53,28-02-82,CERRADO,N/A,4388.5,0,0.056,0,393.57,0
SITIO GRANDE 53,15-07-82,CERRADO,N/A,4388.5,0,0.056,0,386.57,367.88
SITIO GRANDE 53,13-09-83,CERRADO,N/A,4388.5,0,0.056,0,414.47,302.28
SITIO GRANDE 53,04-06-84,CERRADO,N/A,4388.5,0,0.056,0,427.57,339.18
SITIO GRANDE 53,05-05-84,CERRADO,N/A,4388.5,0,0.056,0,431.77,334.82
SITIO GRANDE 53,11-05-84,CERRADO,N/A,4388.5,0,0.056,0,435.4,315.53
