pozo,fecha,tipo de registro,estrangulador (pg),nivel medio de los disparos (mbmr),gradiente pozo (kg/cm2/m),gradiente yacimiento (kg/cm2/m),presion superficie (kg/cm2),de fondo cerrado gradiente de yacimiento (kg/cm2),de fondo cerrado gradiente de pozo (kg/cm2)
SITIO GRANDE 8,1978-03-14,CERRADO,N/A,4242.5,0.0,0.056,0.0,362.96,0.0
SITIO GRANDE 8,1978-07-27,CERRADO,N/A,4242.5,0.0,0.056,0.0,354.59,0.0
SITIO GRANDE 8,1978-10-29,CERRADO,N/A,4242.5,0.1,0.056,0.0,347.34,0.0
SITIO GRANDE 8,1979-03-02,CERRADO,N/A,4242.5,0.1,0.056,0.0,479.94,0.0
SITIO GRANDE 8,1979-09-05,CERRADO,N/A,4242.5,0.076,0.056,0.0,510.04,0.0
SITIO GRANDE 8,1979-11-21,CERRADO,N/A,4242.5,0.061,0.056,0.0,515.64,0.0
SITIO GRANDE 8,1980-05-28,CERRADO,N/A,4242.5,0.0697,0.056,0.0,512.04,0.0
SITIO GRANDE 8,1981-01-27,CERRADO,N/A,4242.5,0.0988,0.056,0.0,531.14,358.11
SITIO GRANDE 8,1981-05-23,CERRADO,N/A,4242.5,0.103,0.056,0.0,526.84,359.71
SITIO GRANDE 8,1981-08-15,CERRADO,N/A,4242.5,0.0613,0.056,0.0,501.24,360.72
SITIO GRANDE 8,1981-09-16,CERRADO,N/A,4242.5,0.099,0.056,0.0,482.74,0.0
SITIO GRANDE 51D,1982-02-02,CERRADO,N/A,4207.5,0.0907,0.056,0.0,517.24,0.0
SITIO GRANDE 51D,1984-06-04,CERRADO,N/A,4207.5,0.104,0.056,0.0,427.74,0.0
SITIO GRANDE 51D,1984-06-05,CERRADO,N/A,4207.5,0.0926,0.056,0.0,519.64,0.0
SITIO GRANDE 51D,1984-04-08,CERRADO,N/A,4207.5,0.0908,0.056,0.0,516.92,0.0
SITIO GRANDE 51D,1984-08-11,CERRADO,N/A,4207.5,0.0976,0.056,0.0,525.22,0.0
SITIO GRANDE 51D,1985-01-16,CERRADO,N/A,4207.5,0.0977,0.056,0.0,378.29,363.57
SITIO GRANDE 51D,1985-10-03,CERRADO,N/A,4207.5,0.0,0.056,0.0,393.5,358.78
SITIO GRANDE 51D,1985-12-05,CERRADO,N/A,4207.5,0.0,0.056,60.42,478.16,349.9
SITIO GRANDE 51D,1985-12-07,CERRADO,N/A,4207.5,0.0,0.056,103.17,518.0,342.57
SITIO GRANDE 51D,1985-09-27,CERRADO,N/A,4207.5,0.0,0.056,106.24,516.51,0.0
SITIO GRANDE 51D,1986-10-18,CERRADO,N/A,4207.5,0.0,0.056,100.56,511.66,0.0
SITIO GRANDE 51D,1987-07-02,CERRADO,N/A,4207.5,0.0,0.056,11.99,418.87,0.0
SITIO GRANDE 51D,1987-10-06,CERRADO,N/A,4207.5,0.0,0.056,123.93,538.02,0.0
SITIO GRANDE 51D,1987-08-10,CERRADO,N/A,4207.5,0.0,0.056,116.42,540.96,0.0
SITIO GRANDE 51D,1988-02-21,CERRADO,N/A,4207.5,0.0,0.056,107.77,518.18,0.0
SITIO GRANDE 51D,1988-04-06,CERRADO,N/A,4207.5,0.0,0.056,96.44,509.47,0.0
SITIO GRANDE 51D,1989-04-22,CERRADO,N/A,4207.5,0.0,0.056,11.99,418.87,0.0
SITIO GRANDE 51D,1990-03-21,CERRADO,N/A,4207.5,0.0,0.056,30.9,356.8,0.0
SITIO GRANDE 51D,1991-02-13,CERRADO,N/A,4207.5,0.0,0.056,13.32,414.85,0.0
SITIO GRANDE 51D,1992-01-04,CERRADO,N/A,4207.5,0.0,0.056,0.0,430.6,0.0
SITIO GRANDE 51D,1992-07-17,CERRADO,N/A,4207.5,0.0,0.056,0.0,384.46,0.0
SITIO GRANDE 51D,1993-07-01,CERRADO,N/A,4207.5,0.0,0.056,0.0,317.76,0.0
SITIO GRANDE 51D,1993-10-03,CERRADO,N/A,4207.5,0.0,0.056,0.0,353.03,367.07
SITIO GRANDE 51D,1994-01-27,CERRADO,N/A,4207.5,0.0,0.056,0.0,347.73,0.0
SITIO GRANDE 51D,1995-01-28,CERRADO,N/A,4207.5,0.0,0.056,0.0,328.13,0.0
